Код;Проведена;Дата;ХозОперация;Поступление;Списание;Контрагент;Заказ;Наша организация;Наш р/счет;ЗаказСНашейСтороны;Менеджер;Комментарий 1;Комментарий 2
24;ИСТИНА;07.02.2014;36;0,00;9 900,00;914;1826;98;10;194;9;Оплата за информационно-консультационные услуги по счету № 135 от 06.02.2014, сумма 9900-00, в т.ч. НДС (18%) 1510-17;
33;ИСТИНА;17.02.2014;44;0,00;5 200,00;426;850;98;10;194;9;Оплата НДФЛ за  январь 2014 г. |НДС не облагается|;
38;ИСТИНА;17.02.2014;43;0,00;8 800,00;27;52;98;10;194;9;087512011315 Страховые взносы на ОПС, зачисляемые в ПФР на выплату страховой части трудовой пенсии за январь 2014г. Сумма 8800 руб.|НДС не облагается|;
35;ИСТИНА;17.02.2014;45;0,00;80,00;933;1864;98;10;194;9;рег. № 7716045142, Страховые взносы 0,2% на ОСС от НС_ПЗ за январь 2014г Сумма 80-00 руб.,|НДС не облагается|;
32;ИСТИНА;17.02.2014;43;0,00;2 040,00;27;52;98;10;194;9;087512011315 Страховые взносы на ОМС в ФФОМС за январь 2014г. Сумма 2040 руб., |НДС не облагается|;
36;ИСТИНА;17.02.2014;45;0,00;1 160,00;933;1864;98;10;194;9;рег. № 7716045142, Страховые взносы на обязательное социальное страхование в бюджет ФСС России за январь 2014 г. Сумма 1160 руб.,|НДС не облагается|;
39;ИСТИНА;19.02.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 19.02.2014 согласно действующему тарифу. |НДС не облагается.|;
40;ИСТИНА;19.02.2014;47;0,00;400 000,00;358;714;98;10;194;9;Перечисл. ден. ср-в оператору электронной площадки для провед. операций по обесп. участия в эл-ых аукционах, лицевой счет №323051. Сумма 400000 руб.|НДС не облагается.|;
42;ИСТИНА;24.02.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 24.02.2014 согласно действующему тарифу. |НДС не облагается.|;
41;ИСТИНА;24.02.2014;34;0,00;3 500,00;358;714;98;10;194;9;Оплата за эл-ый идентификатор Rutoken8ks, изготовление ключа подписи, лицензия на право СКЗИ по сч№ЭП004784 от 24,02,2014г. В том числе |НДС 388.99;
43;ИСТИНА;25.02.2014;37;0,00;12 373,86;870;1738;98;10;194;9;Оплата за мебель и канцтовары по счету № ОНХ/1581554/244195 от 24,02,2014г. В том числе |НДС 18 % - 1887.54;
44;ИСТИНА;25.02.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 25.02.2014 согласно действующему тарифу. |НДС не облагается.|;
46;ИСТИНА;26.02.2014;34;0,00;3 500,00;358;714;98;10;194;9;Оплата за эл-ый идентификатор Rutoken8ks, изготовление ключа подписи, лицензия на право СКЗИ по сч№ЭП005084 от 26,02,2014г.  В том числе |НДС 388.99;
47;ИСТИНА;26.02.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 26.02.2014 согласно действующему тарифу. |НДС не облагается.|;
51;ИСТИНА;03.03.2014;30;0,00;2 200,00;649;1296;98;10;194;9;"Плата за обслуживание по тарифному плану ""Базис"" по счету 40702810838170023089 за Март2014 г.  НДС не облагается.";
52;ИСТИНА;04.03.2014;29;500 000,00;0,00;92;182;98;10;194;9;Взнос по договору займа № 2 от 04.03.2014г;
54;ИСТИНА;05.03.2014;47;0,00;400 000,00;384;766;98;10;194;9;Средства для обеспечения для участия в открытых аукционах в электронной форме. НДС не облагается;
53;ИСТИНА;05.03.2014;49;0,00;29 900,09;870;1738;98;10;194;9;Оплата за спец.одежду по сч№ОНХ/1581554/248600 от 04,03,2014г  В том числе НДС 18 % - 4561.03;
55;ИСТИНА;07.03.2014;29;500 000,00;0,00;92;182;98;10;194;9;Взнос по договору займа № 3 от 07.03.201г;
56;ИСТИНА;07.03.2014;29;500 000,00;0,00;92;182;98;10;194;9;Взнос по договору займа № 3 от 07.03.2014г;
64;ИСТИНА;11.03.2014;43;0,00;3 098,00;27;52;98;10;194;9;087512011315 Страховые взносы на ОМС в ФФОМС за февраль 2014г. Сумма 3098 руб., |НДС не облагается|;
63;ИСТИНА;11.03.2014;43;0,00;13 362,00;27;52;98;10;194;9;087512011315 Страховые взносы на ОПС, зачисляемые в ПФР на выплату страховой части трудовой пенсии за февраль 2014г. Сумма 13362 руб.|НДС не облагается|;
62;ИСТИНА;11.03.2014;45;0,00;1 761,00;933;1864;98;10;194;9;рег. № 7716045142, Страховые взносы на обязательное социальное страхование в бюджет ФСС России за февраль 2014 г. Сумма 1761 руб.,|НДС не облагается|;
61;ИСТИНА;11.03.2014;44;0,00;7 896,00;426;850;98;10;194;9;Оплата НДФЛ за  февраль 2014 г. |НДС не облагается|;
60;ИСТИНА;11.03.2014;45;0,00;122,00;933;1864;98;10;194;9;рег. № 7716045142, Страховые взносы 0,2% на ОСС от НС_ПЗ за февраль 2014г Сумма 122-00 руб.,|НДС не облагается|;
65;ИСТИНА;12.03.2014;32;0,00;2 052,00;474;946;98;10;194;9;Обеспечительный платеж по доп. согл. от 06,02,2014г к договору аренды №1015 от 16.01.2014г Сумма 2052, НДС не облагается;
66;ИСТИНА;13.03.2014;51;0,00;223 731,75;452;902;98;10;194;9;Обеспечение исполнения государственного контракта, Сумма 223731,75р. НДС не облагается;
67;ИСТИНА;14.03.2014;49;0,00;27 494,65;143;284;98;10;194;9;Оплата по сч№133 от 13,03,2014г за валики и кисти В том числе НДС 18 % - 4194.10;
18;ИСТИНА;17.03.2014;33;0,00;34 128,00;474;946;98;10;194;9;"Оплата аренды за февраль по договору аренды №1015 от 16.01.2014г
Сумма 34128-00, в т.ч. НДС (18%) 5205-96 руб.";
70;ИСТИНА;18.03.2014;51;0,00;61 500,00;265;528;98;10;194;9;Обеспечение исполнения государственного контракта Сумма 61 500.00р. НДС не облагается;
69;ИСТИНА;18.03.2014;49;0,00;9 446,40;639;1276;98;10;194;9;Оплата за тнп по счету № 1561 от 11.03.2014г. В том числе НДС 18 % - 1440.98;
71;ИСТИНА;18.03.2014;47;0,00;200 000,00;358;714;98;10;194;9;Перечисл. ден. ср-в оператору электронной площадки для провед. операций по обесп. участия в эл-ых аукционах, лицевой счет №323051. Сумма 200000 руб.|НДС не облагается.|;
81;ИСТИНА;20.03.2014;30;0,00;6,00;649;1296;98;10;194;9;Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): №49 (74114.65 RUR ) от 20/03/14. Без НДС;
79;ИСТИНА;20.03.2014;49;0,00;74 114,65;393;784;98;10;194;9;Оплата за линолеум по счету № си00018059 от 20.03.2014г., № си00017769 от 19.03.2014г. В т.ч. НДС (18%) 11305-62;
80;ИСТИНА;20.03.2014;30;0,00;90,00;649;1296;98;10;194;9;Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 20/03/14 №№: 46 (39249.74 RUR ), 48 (24252 RUR ), 50 (69000 RUR ). Без НДС;
78;ИСТИНА;20.03.2014;49;0,00;24 252,00;142;282;98;10;194;9;Оплата за оборудование по счету № 1403-100101-16761 от 19.03.2014г. В т.ч. НДС (18%) 3699-46;
77;ИСТИНА;20.03.2014;49;0,00;110 250,00;149;296;98;10;194;9;Оплата за мебельные детали по счету № 40 от 11.03.2014г. Без налога (НДС);
76;ИСТИНА;20.03.2014;49;0,00;39 249,74;745;1488;98;10;194;9;Оплата за сантехническое оборудование по счету № 1614 от 11.03.2014г.   В том числе НДС 18 % - 5987.25;
75;ИСТИНА;20.03.2014;49;0,00;19 776,44;706;1410;98;10;194;9;Оплата за электротехническое оборудование по счету № 403 от 18.03.2014г. В т.ч. НДС (18%) 3016-74;
74;ИСТИНА;20.03.2014;49;0,00;69 000,00;970;1938;98;10;194;9;Оплата за ТНП по Счету № 919 от 18.03.14,  В т.ч. НДС (18%) 10525-42;
73;ИСТИНА;20.03.2014;49;0,00;99 106,00;567;1132;98;10;194;9;Оплата за стройматериалы по счету № Ш-0589, Ш-0590 от 19.03.2014г. сумма  99106-00 руб.  В т.ч. НДС (18%) 15117-86;
87;ИСТИНА;21.03.2014;30;0,00;12,00;649;1296;98;10;194;9;Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): от 21/03/14 №№: 54 (27979.26 RUR ), 52 (18002.05 RUR ). Без НДС;
83;ИСТИНА;21.03.2014;49;0,00;61 565,22;774;1546;98;10;194;9;Оплата за краски и эмали по счету № 497 от 20.03.2014г. В т.ч. НДС (18%) 9391-30;
84;ИСТИНА;21.03.2014;49;0,00;27 979,26;856;1710;98;10;194;9;Оплата за товары для ремонта по счету № 1443 от 20.03.2014г. В том числе НДС 18 % - 4268.02;
85;ИСТИНА;21.03.2014;51;0,00;134 355,36;121;240;98;10;194;9;Обеспечение исполнения контракта Без налога (НДС);
86;ИСТИНА;21.03.2014;30;0,00;60,00;649;1296;98;10;194;9;Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 21/03/14 №№: 53 (61565.22 RUR ), 55 (134355.36 RUR ). Без НДС;
82;ИСТИНА;21.03.2014;49;0,00;18 002,05;782;1562;98;10;194;9;Оплата за тнп по счету № 4455 от 20.03.2014г. В т.ч. НДС (18%) 2746-08;
92;ИСТИНА;24.03.2014;51;0,00;10 000,00;579;1156;98;10;194;9;Обеспечение исполнения государственного контракта  НДС не облагается;
91;ИСТИНА;24.03.2014;29;500 000,00;0,00;508;1014;98;10;194;9;Взнос по договору займа №4 от 24.03.2014;
94;ИСТИНА;24.03.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №57 (10000 RUR ) от 24/03/14. Без НДС;
107;ИСТИНА;25.03.2014;30;0,00;90,00;649;1296;98;10;194;9;"Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 24/03/14 №№: 56 (55202.94 RUR ); от 25/03/14 №№: 58 (73050 RUR ), 60 (13552 RUR ). Без НДС";
101;ИСТИНА;25.03.2014;49;0,00;55 202,94;461;920;98;10;194;9;Оплата за ведра, уборочную тележку по сч№314 от 19,03,2014г В том числе НДС 8420.80;
102;ИСТИНА;25.03.2014;49;0,00;73 050,00;52;102;98;10;194;9;Оплата за мешки ПНД по сч№1424 от 21,03,2014г. В том числе НДС 18 % - 11143.22;
103;ИСТИНА;25.03.2014;51;0,00;27 800,00;797;1592;98;10;194;9;Обеспечение исполнения контракта.  НДС не облагается;
104;ИСТИНА;25.03.2014;49;0,00;13 552,00;850;1698;98;10;194;9;Оплата за тнп по сч№120 от 25,03,2014г. В том числе НДС 18 % - 2067.25;
108;ИСТИНА;25.03.2014;30;0,00;6,00;649;1296;98;10;194;9;Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): №61 (14451.2 RUR ) от 25/03/14. Без НДС;
106;ИСТИНА;25.03.2014;49;0,00;14 451,20;786;1570;98;10;194;9;Оплата по сч№11740 от 24,03,2014г за грабли В том числе НДС 2204.39;
131;ИСТИНА;26.03.2014;49;0,00;48 959,06;870;1738;98;10;194;9;Оплата за канцтовары по сч№ОНХ/1581554/258524 от 25,03,2014г. В том числе НДС 18%- 7468.32;
122;ИСТИНА;26.03.2014;49;0,00;29 728,48;870;1738;98;10;194;9;Оплата за канцтовары по сч№ОНХ/1581554/258600 от 25,03,2014г. В том числе НДС 18 % - 4534.85;
132;ИСТИНА;26.03.2014;49;0,00;50 700,00;113;224;98;10;194;9;Оплата за обои по сч№68 от 25,03,2014г. В том числе НДС 18 % - 7733.90;
129;ИСТИНА;26.03.2014;49;0,00;30 871,60;870;1738;98;10;194;9;Оплата за канцтовары по сч№ОНХ/1581554/258640 от 25,03,2014г В том числе НДС 18%-4709.24;
135;ИСТИНА;26.03.2014;30;0,00;6,00;649;1296;98;10;194;9;Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): №62 (42000 RUR ) от 26/03/14. Без НДС;
134;ИСТИНА;26.03.2014;30;0,00;180,00;649;1296;98;10;194;9;Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 26/03/14 №№: 63 (29728.48 RUR ), 64 (30871.6 RUR ), 65 (23393.51 RUR ), 67 (50700 RUR ), 66 (48959.06;
121;ИСТИНА;26.03.2014;49;0,00;42 000,00;49;96;98;10;194;9;Оплата за стаканы 200 мл по сч№381 от 20,03,2014г. В том числе НДС 18 % - 6406.78;
130;ИСТИНА;26.03.2014;49;0,00;23 393,51;870;1738;98;10;194;9;Оплата за канцтовары по сч№ОНХ/1581554/258698 от 25,03,2014г. В том числе НДС 18%- 3568.49;
120;ИСТИНА;26.03.2014;29;500 000,00;0,00;92;182;98;10;194;9;Взнос по договору займа № 5 от 26.03.2014г;
133;ИСТИНА;26.03.2014;49;0,00;23 800,60;945;1888;98;10;194;9;Оплата за тряпки и швабры по сч№33 от 26,03,2014г. В том числе НДС 18%-3630.61;
138;ИСТИНА;27.03.2014;30;0,00;30,00;649;1296;98;10;194;9;Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №69 (10835.25 RUR ) от 27/03/14. Без НДС;
137;ИСТИНА;27.03.2014;51;0,00;202 999,94;1031;2060;98;10;194;9;Обеспечение исполнения государственного контракта НДС не облагается;
136;ИСТИНА;27.03.2014;49;0,00;10 835,25;461;920;98;10;194;9;Оплата за нетканное полотно по сч№361 от 26,03,2014г. В том числе НДС 18 % - 1652.83;
147;ИСТИНА;28.03.2014;53;61 500,00;0,00;265;528;98;10;194;9;61500.00 02 возврат обеспечения исполнения контракта согл п/п №43 от 18,03,2014г. Без НДС.;
503;ИСТИНА;01.04.2014;51;0,00;101 499,97;1031;2060;98;10;194;;Платежное поручение № 71 от 01.04.2014 Обеспечение исполнения государственного контракта. НДС не облагается;
506;ИСТИНА;01.04.2014;47;0,00;30 000,00;1178;2354;98;10;194;;Платежное поручение № 73 от 01.04.2014 Средства для обеспечения участия в открытых аукционах в эл-ой форме( л/с ЭТП: 77218129320000985631).  НДС не облагается;
485;ИСТИНА;01.04.2014;49;0,00;38 248,60;870;1738;98;10;194;;Платежное поручение № 75 от 01.04.2014 Оплата за канцтовары по сч№ОНХ/1581554/262178 от 31,03,2014г. В том числе НДС 18 % - 5834.54 руб.;
472;ИСТИНА;01.04.2014;47;0,00;30 000,00;733;1464;98;10;194;;Платежное поручение № 74 от 01.04.2014 Средства для обеспечения участия в открытых аукционах в эл-ой форме № виртуал сч. 14.168981.602213-VA. НДС не облагается;
474;ИСТИНА;01.04.2014;51;0,00;13 900,00;797;1592;98;10;194;;Платежное поручение № 72 от 01.04.2014 Обеспечение исполнения контракта.  НДС не облагается;
460;ИСТИНА;01.04.2014;30;0,00;2 200,00;649;1296;98;10;194;;Банковский ордер № 329032 от 01.04.2014 Авансовая плата за использование лимитированного тарифного плана МБ_ЛимТП Базис за период с '01/04/2014' по '30/04/2014'  N дог. 40702810838170023089 . НДС не взим. (Усл.опл.: без акцепта, согл. прил.N 2 к дого;
496;ИСТИНА;02.04.2014;49;0,00;4 230,00;941;1880;98;10;194;;Платежное поручение № 79 от 02.04.2014 Оплата за п/э пакеты по сч№404 от 01,04,2014г В том числе НДС 18 % - 645.25;
438;ИСТИНА;02.04.2014;49;0,00;5 238,20;572;1142;98;10;194;;Платежное поручение № 76 от 02.04.2014 Оплата за скатерть по сч№Счт1-7568 от 20,03,2014г. В том числе НДС 18 % - 799.05;
424;ИСТИНА;02.04.2014;49;0,00;28 260,50;399;796;98;10;194;;Платежное поручение № 77 от 02.04.2014 Оплата за тнп по сч№189 от 03,03,2014г. НДС не облагается;
471;ИСТИНА;02.04.2014;49;0,00;67 378,28;718;1434;98;10;194;;Платежное поручение № 78 от 02.04.2014 Оплата за тнп по сч№С-00391 от 19,03,2014г. В том числе НДС 18 % - 10278.04;
458;ИСТИНА;03.04.2014;30;0,00;2 760,00;649;1296;98;10;194;;Банковский ордер № 464652 от 03.04.2014 Комиссия за прием наличных денежных средств 0.30 %,НДС не облагается.;
482;ИСТИНА;03.04.2014;49;0,00;10 229,14;870;1738;98;10;194;;Платежное поручение № 81 от 03.04.2014 Оплата за канцтовары по сч№ОНХ/1581554/262775 от 01.04.2014г. В том числе НДС 18 % - 1560.38 руб.;
483;ИСТИНА;03.04.2014;49;0,00;38 245,41;870;1738;98;10;194;;Платежное поручение № 83 от 03.04.2014 Оплата за канцтовары по сч№ОНХ/1581554/263343 от 02.04.2014г. В том числе НДС 18 % - 5834.05 руб.;
403;ИСТИНА;03.04.2014;49;0,00;12 570,00;83;164;98;10;194;;Платежное поручение № 84 от 03.04.2014 Оплата за фартук и бахилы по сч№6665 от 28,03,2014г. В том числе НДС 10%- 1142.73;
457;ИСТИНА;03.04.2014;30;0,00;30,00;649;1296;98;10;194;;Банковский ордер № 491636 от 03.04.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №83 (38245.41 RUR ) от 03/04/14. Без НДС;
497;ИСТИНА;03.04.2014;49;0,00;1 870,70;945;1888;98;10;194;;Платежное поручение № 82 от 03.04.2014 Оплата за швабры по сч№38 от 02,04,2014г. В том числе НДС 18 % - 285.36;
507;ИСТИНА;03.04.2014;49;0,00;5 700,00;1184;2366;98;10;194;;Платежное поручение № 85 от 03.04.2014 Оплата за уголок пвх по сч№28 от 01,04,2014г. В том числе НДС 18 % - 869.49;
489;ИСТИНА;03.04.2014;29;1 000 000,00;0,00;883;1764;98;10;194;;Расходный кассовый ордер №  от 03.04.2014;
456;ИСТИНА;03.04.2014;30;0,00;12,00;649;1296;98;10;194;;Банковский ордер № 491646 от 03.04.2014 Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): от 03/04/14 №№: 84 (12570 RUR ), 85 (5700 RUR ). Без НДС;
488;ИСТИНА;03.04.2014;49;0,00;46 654,01;870;1738;98;10;194;;Платежное поручение № 80 от 03.04.2014 Оплата за канцтовары по сч№ОНХ/1581554/263516 от 02.04.2014г. В том числе НДС 18 % - 7116.76 руб.;
434;ИСТИНА;04.04.2014;49;0,00;41 680,00;510;1018;98;10;194;;Платежное поручение № 6 от 04.04.2014 Оплата по сч№2815 от 02,04,14г за самаровку и хлорамин Б В том числе НДС 18 % - 6357.97;
452;ИСТИНА;04.04.2014;30;0,00;60,00;649;1296;98;10;194;;Банковский ордер № 547182 от 04.04.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 04/04/14 №№: 1 (36180 RUR ), 5 (49215.72 RUR ). Без НДС;
413;ИСТИНА;04.04.2014;49;0,00;89 008,50;120;238;98;10;194;;Платежное поручение № 3 от 04.04.2014 Оплата по сч№779 от 03,04,2014г за диспенсеры В том числе НДС 18 % - 13577.57;
461;ИСТИНА;04.04.2014;30;0,00;18,00;649;1296;98;10;194;;Банковский ордер № 547187 от 04.04.2014 Комиссия за ПП в СБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'.Документ(ы): от 04/04/14 №№: 2 (141329.4 RUR ), 3 (89008.5 RUR ), 6 (41680 RUR ). Без НДС;
445;ИСТИНА;04.04.2014;49;0,00;49 215,72;639;1276;98;10;194;;Платежное поручение № 5 от 04.04.2014 Оплата за тнп по сч№1973 от 25,03,2014г. В том числе НДС 18 % - 7507.48;
412;ИСТИНА;04.04.2014;49;0,00;141 329,40;120;238;98;10;194;;Платежное поручение № 2 от 04.04.2014 Оплата по сч№767 от 02,04,2014г, по сч№768 от 02,04,14г за тнп В том числе НДС 18 % - 21558.72;
504;ИСТИНА;07.04.2014;60;61 632,03;0,00;1141;2280;98;10;194;;Платежное поручение № 156 от 03.04.2014 (340):61632-03 Оплата по дог. №07.03.14/1К от 24.03.2014 г.(хозяйственные принадлежности) по счету №2 от 28.03.2014 г. НДС 9401-50.;
500;ИСТИНА;07.04.2014;49;0,00;6 928,02;945;1888;98;10;194;;Платежное поручение № 10 от 07.04.2014 Оплата за скатерть,швабра по сч№39 от 04,04,2014г В том числе НДС 18 % - 1056.82;
443;ИСТИНА;07.04.2014;49;0,00;28 027,10;639;1276;98;10;194;;Платежное поручение № 7 от 07.04.2014 Оплата за тнп по сч№2257 от 03,04,2014г. В том числе НДС 18 % - 4275.32;
467;ИСТИНА;07.04.2014;30;0,00;180,00;649;1296;98;10;194;;"Банковский ордер № 602919 от 07.04.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 04/04/14 №№: 86 (35512.59 RUR ), 4 (23150 RUR ); от 07/04/14 №№: 7 (28027.1 RUR ), 8 (24970.8 RUR ), 9";
446;ИСТИНА;07.04.2014;49;0,00;24 970,80;639;1276;98;10;194;;Платежное поручение № 8 от 07.04.2014 Оплата за тнп по сч№2227 от 02,04,2014г. В том числе НДС 18 % - 3809.11;
431;ИСТИНА;07.04.2014;51;0,00;23 150,00;497;992;98;10;194;;Платежное поручение № 4 от 04.04.2014 Обеспечение исполнения контракта. НДС не облагается;
481;ИСТИНА;07.04.2014;49;0,00;35 512,59;870;1738;98;10;194;;Платежное поручение № 86 от 04.04.2014 Оплата за канцтовары по сч№ОНХ/1581554/263379 от 02.04.2014г. В том числе НДС 18 % - 5417.17 руб.;
420;ИСТИНА;07.04.2014;60;110 700,00;0,00;265;528;98;10;194;;Платежное поручение № 441 от 02.04.2014 (340):110700.00 Контракт № 6Л от 24.03.14г. Счет № 51 от 27.03.14г. Тов. накл. № 9 от 27.03.14г. Диспенсер для туалетной бумаги. НДС 16886.44;
491;ИСТИНА;07.04.2014;49;0,00;27 000,00;890;1778;98;10;194;;Платежное поручение № 9 от 07.04.2014 Оплата по сч№1849 от 03,04,2014г за бахилы. В том числе НДС 2454.55;
407;ИСТИНА;08.04.2014;49;0,00;21 800,10;86;170;98;10;194;;Платежное поручение № 87 от 08.04.2014 оплата по сч№867 от 08,04,2014г за салфетки и туалетную бумагу;
490;ИСТИНА;08.04.2014;29;500 000,00;0,00;883;1764;98;10;194;;Расходный кассовый ордер №  от 08.04.2014;
453;ИСТИНА;08.04.2014;30;0,00;1 500,00;649;1296;98;10;194;;Банковский ордер № 633335 от 08.04.2014 Комиссия за прием наличных денежных средств 0.30 %,НДС не облагается.;
449;ИСТИНА;08.04.2014;30;0,00;30,00;649;1296;98;10;194;;Банковский ордер № 659601 от 08.04.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): №87 (21800.1 RUR ) от 08/04/14. Без НДС;
448;ИСТИНА;09.04.2014;30;0,00;180,00;649;1296;98;10;194;;Банковский ордер № 712534 от 09.04.2014 Комиссия за ПП в КБ через ДБО согласно договора РКО № 40702810838170023089 от '10/01/2014'. Документ(ы): от 09/04/14 №№: 88 (17390 RUR ), 90 (21800.1 RUR ), 89 (307217.92 RUR ), 92 (4140 RUR ), 94 (484565.19 RU;
432;ИСТИНА;09.04.2014;60;7 583,00;0,00;497;992;98;10;194;;Платежное поручение № 318 от 09.04.2014 (00000000000000000-340=7583.00 л/с 20486У77790) оплата 30% по сч.4 от 02.04.14г. хоз.товары ГК 34/340 от 01.04.2014г.,в т.ч.НДС(18%)-1156-73;
404;ИСТИНА;09.04.2014;49;0,00;307 217,92;86;170;98;10;194;;Платежное поручение № 89 от 09.04.2014 Оплата по Счету № 868 от 08.04.2014 за полотенца и т/бумагу В том числе НДС 18 % - 46863.75;
406;ИСТИНА;09.04.2014;49;0,00;21 800,10;86;170;98;10;194;;Платежное поручение № 90 от 09.04.2014 Оплата по Счету № 867 от 08.04.2014 за т/бумагу и салфетки В том числе НДС 18 % - 3325.44;
416;ИСТИНА;09.04.2014;51;0,00;142 858,68;260;518;98;10;194;;Платежное поручение № 93 от 09.04.2014 Оплата обеспечения исполнения  контракта.  НДС не облагается;
